22-Sep	30-Sep	7-Oct	14-Oct	21-Oct	28-Oct	4-Nov	11-Nov	18-Nov	25-Nov	2-Dec	9-Dec	16-Dec	23-Dec	30-Dec	6-Jan	13-Jan	20-Jan	27-Jan	3-Feb	10-Feb	17-Feb	24-Feb	2-Mar	9-Mar	16-Mar	23-Mar	30-Mar	6-Apr	13-Apr	20-Apr	27-Apr	4-May	11-May	18-May	25-May	1-Jun	8-Jun	15-Jun	22-Jun	29-Jun	6-Jul	13-Jul	20-Jul	27-Jul	3-Aug	10-Aug	17-Aug	24-Aug	31-Aug	7-Sep	14-Sep	21-Sep
Bakken man camps dwindling to ghost camps	$1.65M grant helps trailer park residents forced to move	Distemper in dog temporarily closes animal shelter; stray cats accepted by appointment		Amber Alert canceled for 14-year-old Missoula girl	Officials identify woman killed in Monday crash with semitrailer	Amtrak announces plans to make Williston station more friendly to those with disabilities	'Super duck': Dinosaur discovery shows evolutionary transition of species	$500,000 bonus? UM president up for compensation review in 2016	'Warrior woman' featured in PBS film dies	Butte's M&M Bar reopens this Friday	4,200 Helena-area customers lose power in windstorm	Board OKs idea to leave Hell Creek State Park in 2021	At least 54,517 Montanans signed up for health insurance	Bullock taps former lawmaker, secretary of state for lt. gov. job	Billings makes top beer city list ? and top hungover city list	Former Vanns CEO pleads not guilty to federal charges	Cause of skier's death at Lost Trail remains under investigation	Family, friends in shock after North Dakota teen dies in sleep	Columbus company makes noise at Super Bowl	Bearcreek resident sues Red Lodge alleging illegal search, false arrest		Happy, healthy baby girl arrives in Eastern Montana post office parking lot	Community tries to heal as Livingston suicides continue	Court upholds PSC order for solar-, wind-powered projects	After fatal pool visit, rules on swimming about to change for day cares	BNSF cuts shipping rates for wheat	Billings contractor, 2 companies indicted in Chippewa Cree corruption case	#30. Montana	Anaconda man dies in rollover crash near Butte	Despite attorney's motion to dismiss, Marble still imprisoned	Athletes' privacy rights questioned at Krakauer hearing	Emmylou Harris, John Prine to perform free concert at Gardiner	American Prairie Reserve seeks temporary bison grazing permit in NE Montana	'User error' caused Hellgate High data breach, LMG Security analysis finds	Court has 'no authority' to dismiss Montana rape case, ex-county attorney says	Mineral commissioners say county is tapped dry	'Dateline NBC' to feature Montana murder case Friday	Amid ongoing discord, Red Lodge mayor announces retirement	1 of the last Doolittle Raiders dies in Missoula at 94	10 Montana Instagram accounts to follow right now	Beartooth Electric co-op to hold call-in member meeting	Medical marijuana measure qualifies for Montana ballot	Coroner identifies woman killed by train near Crow Agency Sunday	Earlier rains turn Flathead cherry harvest into a 'split decision'	AMBER alert: Girl may be headed for Billings	Florence doctor charged with 400 felonies says still not ready to proceed	Lawsuit: Montana hospital didn't respond properly to scabies outbreak	Protest will continue as judge considers Dakota Access pipeline ruling	FWP commission OKs elimination hunt of Tendoy sheep	2 women plead guilty to locking children in basement	Authorities looking for grizzly and a home for the twin cubs she left behind	Missoula's three most haunted buildings
Does state gets passing grade for education funding? Group aims to find out	4 dead in 2 crashes along stretch of Highway 2 in 14 hours	Hundreds mourn bus driver who died in crash		Amber Alert issued for 14-year-old Missoula girl		MSU reseach satellite destroyed in military rocket failure	Deputy shoots driver during traffic stop near Dillon	Diocese of Helena developing retail center to replenish funds	Airlines add Billings flights for holidays	Committee hears concerns over fees of independent air ambulance services	Experts: Grizzlies losing interest in food container tests	Chronic pain patients to seek bill of rights from Montana Legislature	Made-in-Montana movie gets coveted Sundance slot for world premiere	Montana man appeals homicide conviction in death of exchange student	Billings man convicted of assault in Lame Deer	Gonorrhea cases nearly doubled in Montana in 2015	Field crew finds 66-million-year-old hadrosaur footprint in Garfield County	Williston City Commission votes to ban strip clubs downtown	Former Montana band teacher pleads guilty to sexually assaulting student	Coroner's office identifies pedestrian killed near Pryor		Livingston student's suicide occurs two years after family files bullying lawsuit	Officials identify woman killed in rollover that hospitalized 6 others	Former state staffer gets probation in theft case	Controversy mars Catholic funeral	Boys and Girls Club of Lewistown receives grant	In Wyoming, layoffs boom as energy industry goes bust	5 generations tend Boulder Valley family ranch	Circle man denies receiving, having child porn on his computer	Goat gives birth to quadruplets near Huntley	Crow Tribe comptroller facing embezzlement charges	Jury convicts Montana man of sexually abusing child 24 years ago	Former President Clinton to stump for Hillary in Billings on May 20	Accused Chippewa Cree tribal member charged with tax evasion, theft	Landslide closes Going-to-the-Sun for a second time in 2 days		'Dateline NBC' visits iconic Sip n' Dip Lounge	Zinke pushes to end coal lease suspension, empower communities	After tornado aid effort, Baker looks to long-term recovery	Billings contractor indicted again in Chippewa Cree corruption case	California woman admits having meth and guns in her backpack in trafficking conspiracy	Ranch west of Dillon becomes public land after $1.5M purchase	Dought conditions settle in Montana	Man shot to death near Malta after stabbing Phillips County Sheriff's deputy	Author Ivan Doig's archives to be unveiled on Sept. 19	New York City teens explore Montana prairie	Woman gets probation for DUI crash that injured herself and grandchildren	Retired Montana doctor tries to educate people on existence of alien life	Man charged with rape while out on bond gets 25 years	Montana tribes taking health issues into their own hands	Badlands documentary 'Makoshika' contrasts MonDak's booms, busts	Montana
Message from 1972: Postcard finally makes it home to Montana	Facing problems similar to Billings, Missoula presents 'master plan' to alleviate jail overcrowding	Judge approves sale of big, vacant Butte hotel; could become apartments with pool		Moose killed while charging couple near Victor		Suspended Montana doctor requests hearing on sobriety accusation	Miles City Livestock Commission comes back strong after fire	Man fined for building personal trail to national forest	Laurel woman dies in I-90 rollover east of Drummond	Dillon man found dead; investigation continues	For 37 years, Alano Club has been a beacon of Butte sobriety	Montana State, Burrell end talks on proposed medical college	Staff seeking solutions to budget woes at U. Montana despite low morale	New snowplow cams give drivers a windshield view of winter roads	Charges pending against 3 for shooting Lolo pets with blowgun darts	Highly contagious dog flu confirmed in Helena	Former Butte teacher charged in egg-throwing incidents		Montana lab probing Zika virus amid WHO international warning	North Dakota's first surviving quads celebrate 75th birthday		Missoula man accused of ?heinous? attack on 16-month-old who wouldn?t stop crying, mother	Prescribed fire planned for Nye area	From billionaire to inmate, Yellowstone Club founder remains defiant	Disagreement nearly derails Catholic funeral in Lewistown			Ex-wife of man found dead in Butte reaches out	Montana State to pay O'Neill's canceled $28,000 speaking fee	Lake Yellowstone Hotel to celebrate 125th anniversary	Federal jury convicts man in 2014 strangulation, assault	Missing Butte man identified; search continues in Madison County		Helena woman sentenced in large Fishtail meth case	Man sentenced to two years for hit-and-run that killed pedestrian		'If thunder roars, stay indoors': Severe storms predicted with large hail, strong winds		Weyerhaeuser to close all Columbia Falls lumber and plywood mills; 100 jobs affected	Ex-Carroll goalkeeper beats cancer but worries about kids playing on crumb rubber	East Helena man accused of stealing $400K in elderly exploitation case		Man pleads not guilty to assault with intent to commit murder	Officials identify Wyoming woman killed in Big Horn County rollover	Dillon man in fatal crash ID'd; speed suspected	UM research: Mountain biodiversity more vulnerable to climate change than previously reported	Yellowstone fire draws more firefighters		Scientists studying hydrothermal system under Yellowstone Lake	Yellowstone River fish-kill revives fears of whirling disease	Daines introduces good-neighbor forestry bill	Settlement reached in damages from Exxon's Yellowstone spill
Montana man pleads guilty to brutal attack on ex-girlfriend	North Dakota to hire 9 more criminal investigation agents	Missing Missoula woman found safe		New trial date set for Butte homicide case after mistrial		Watford City teen dies in garage fire while trying to save neighbor?s property	Miles City Livestock Commission comes back strong after fire		UM Faculty Senate presses Engstrom on budget cuts, solutions	Montana leaders predict debates over bonding, new revenue	Open house offers info on NE Montana mineral withdrawals to protect sage grouse	Open enrollment deadline extended through Thursday for federal health insurance	Website offers drivers seamless road conditions for West		Oath Keepers founder says members should pick different fight than Oregon situation	Lame Deer woman gets prison for baseball bat assault	Helena woman admits meth charges in Fishtail conspiracy			Yellowstone considers Fishing Bridge roadwork			Woman who sold meth on reservation sentenced to 4 years in prison	Sex abuse survivor pushes for prevention programs in Montana's schools	Glendive man killed in rural Wisconsin crash			Wyoming man drove meth from Arizona to Montana, delivered proceeds to Arizona	Some Yellowstone roads open to vehicles on Friday	Montana man identified as meth supplier admits selling the drug in Sidney area	Lack of snow speeds highway crew up Beartooth Pass	Trump to speak at Bismarck oil conference		Spread of brucellosis blamed on elk, not bison or feed grounds	Mentally disabled teen raped by teammates after months of racial abuse, suit claims		UPDATE: 'Dateline NBC' to feature Montana murder case Friday			Missing man identified as driver found in wreck north of Livingston	Observation Fire evacuation warning lifted		Montana man championed by Oath Keepers sentenced to 18 months in federal prison	Stillwater weed coordinator accused of using county equipment to spray commissioner's land	Officials ID Minnesota man found dead in train tunnel west of Helena						Montana	
Montana man pleads guilty to felony partner assault, 2nd charge dropped	St. Vincent Healthcare among Montana hospitals penalized for readmission rates	Montana chemical company takes important step toward goal of going global								North Dakota man rescues dumped dog, overwhelmed with support	Police arrest man, woman in Livingston after series of car thefts	Stillwater Mining workers approve new contract at East Boulder mine			Resurrecting the book arts one letter at a time	Montanans spending millions in pursuit of record Powerball jackpot	Livingston woman sues trucking company after finding human face in car wash							With drilling?s decline, worker happy for job watching idle rigs	Idaho truck driver dies in Billings weeks after Sidney rollover				Widow of fallen police officer plans to remember while moving on	Vehicle, 1 suspect found in Minot, child listed in Amber Alert still missing	Supreme Court hears arguments in Krakauer v. State of Montana			State seeks a stay to prevent unlimited contributions ordered by judge on Tuesday	MT Waterworks admits fraud in Chippewa Cree corruption case					Montana rancher raises prized breeding Tibetan yaks	Oil and gas tax collections expected to hit 8-year-low in FY 2017		Pipeline company puts $1 million for Head Start building on reservation	Supreme Court reverses Big Horn District Court's rejection of wrongful death suit	Roaring Lion Fire grows dramatically overnight						Oil company vs. Indians: Flathead Reservation has been there before	
Montana officer who shot man during incident is identified	Student accidentally discharges gun at Tech student housing; no one hurt	Officials speak with UM students about sexual assault response								Petition requests governor 'take closer look' at University of Montana	Video: Jeff Bridges' Montana love story	Superintendent: Human error caused Hellgate High data leak			Thieves make off with horse tails	Oregon occupation reignites federal land transfer debate in Montana	Man admits hitting and choking girlfriend, firing gun at her car as she fled							Woman gets probation in DUI crash that injured 3 children	Montana's AG calls search of home by Red Lodge police 'inappropriate' but won't prosecute						Town of Poplar mourns toddler, laments pervasive meth use			Yellowstone staff mourns passing of colleague	Seattle Times editor will lead Missoulian newsroom						Wild horses-turned-prison ponies from Nevada report for duty in Montana		Refugees from war-torn Congo appear headed for Missoula	Texas man sentenced for Roosevelt Arch vandalism	Roaring Lion Fire nearly doubles in size, leaving firefighters exhausted						Yellowstone deputy superintendent to retire	
N.D. looks to reverse  staggering growth in prison population	Veteran receives deferred sentence after turning life around									University of Montana faces $10M to $12M budget shortfall		Trafficking victims? advocate says woman?s case shows flaws in legal system				Yellowstone proposes quarantine facility for bison on Fort Peck Reservation	Missoula flasher pleads guilty in agreement with prosecutors								New brewery opening in Glendive this May									Yellowstone's Grand Prismatic Spring to get new trail									The top 10 historical sites in Montana	The underground city: Havre beneath the streets	Things Montana has given America							
New internship on native plants with significance to tribes launches at UM												U.S. on verge of lifting oil export ban					Regents approve UM, MSU raises, but with dissenting vote								Red Lodge Mountain closing 1 week earlier than planned																		Weeks after North Dakota man?s disappearance, wife still determined he can be found		Wildfire near Hardin reaches 85 percent containment			Protest will continue as judge considers Dakota Access pipeline ruling	FWP commission OKs elimination hunt of Tendoy sheep	3 women plead guilty to locking children in basement	Authorities looking for grizzly and a home for the twin cubs she left behind	Missoula's three most haunted buildings
Official Sturgis rally attendance shatters record with 739,000 visitors																	Skier who died in Madison Range avalanche was ski patrol member; conditions dangerous								Williston area to get 20-person special operations unit																							Retired Montana doctor tries to educate people on existence of alien life	Man charged with rape while out on bond gets 25 years	Montana tribes taking health issues into their own hands	Badlands documentary 'Makoshika' contrasts MonDak's booms, busts	Montana
Rabid bat found at picnic area north of Helena																																																	Scientists studying hydrothermal system under Yellowstone Lake	Yellowstone River fish-kill revives fears of whirling disease	Daines introduces good-neighbor forestry bill	Settlement reached in damages from Exxon's Yellowstone spill
