paper	date	headline
Missoulian	2016-09-23	After EWU air raid, Bobcats switch focus to Cal Poly option
Missoulian	2016-09-23	Alternative art gallery FrontierSpace to hold annual art auction
Missoulian	2016-09-23	Does state gets passing grade for education funding? Group aims to find out
Missoulian	2016-09-23	Fall films have issues
Missoulian	2016-09-23	Family in need after Bonner fire destroyed home, killed cat
Missoulian	2016-09-23	Headwaters Dance Company's "last hurrah" concerts are next week
Missoulian	2016-09-23	Montana coaching tree gathers for fundraiser
Missoulian	2016-09-23	Mountain Line to detour Saturday due to UM Homecoming Parade
Missoulian	2016-09-23	Rabid bat found at picnic area north of Helena
Missoulian	2016-09-23	Ravalli County attorney's daughter jailed in sibling assault
Missoulian	2016-09-23	Search continues today for missing Kalispell bow hunter
Missoulian	2016-09-23	Tester to escort Pope Francis to House chambers
Missoulian	2016-09-23	MSU's Prukop, Sac State's Sankey a clash of excellence
Missoulian	2016-09-23	New consul of Mexico seeks to strengthen ties with Montana
Missoulian	2016-09-23	Prep Athletes of the Week for Oct. 8
Missoulian	2016-09-23	Rand Paul to be in Davenport next Tuesday
Missoulian	2016-09-23	Santorum touts hardline immigration enforcement in Sioux City
Missoulian	2016-09-23	Team Trump Montana not getting much support from state GOP and vice versa
Missoulian	2016-09-23	Trump draws fans out on campaign stop in Waterloo
Missoulian	2016-09-23	Teenager missing from Missoula, may be in danger
Missoulian	2016-09-23	Woman's vow of celibacy is tested by her friends
Missoulian	2016-09-23	Students invited to enter MLK contest
Missoulian	2016-09-23	Thank-you for a gift is too often left unsaid
Missoulian	2016-09-23	UPDATED: Suspect in custody in triple shooting near Butte; one man dead
Missoulian	2016-09-23	We Care: Home and Community Based Services keeps clients out of institutions
Missoulian	2016-09-23	Prep Extra Scoreboard: Feb. 25
Missoulian	2016-09-23	Prep Extra: Paige Holmes, Seeley-Swan aim to end postseason frustrations
Missoulian	2016-09-23	The cities that stay up latest
Missoulian	2016-09-23	Two Livingston students die of apparent suicide in one week
Missoulian	2016-09-23	'In Transit': Hope for reinvention on the dayslong Empire Builder
Missoulian	2016-09-23	'Pot Tourists' Linked to Surge in Colorado ER Visits
Missoulian	2016-09-23	Woman Who Had 1st U.S. Uterus Transplant Loses the Organ Due to Complication
Missoulian	2016-09-23	With low stock prices, Stillwater CEO says merger calls are coming
Missoulian	2016-09-23	Woman's secret past revealed makes fiancé doubt the future
Missoulian	2016-09-23	Women's Law Caucus hosts 19th annual silent auction
Missoulian	2016-09-23	U.S. Moving Money From Ebola Fund to Help Fight Zika
Missoulian	2016-09-23	Veteran suicide awareness walk/run set for May 22 in Missoula
Missoulian	2016-09-23	Women Twice as Likely to Die From Severe Heart Attack, Study Finds
Missoulian	2016-09-23	Wanted man arrested in Billings park following foot chase
Missoulian	2016-09-23	Western AA divisional tennis: Hellgate's Howard makes up for lost time
Missoulian	2016-09-23	Woman's lack of experience makes her reluctant to commit
Missoulian	2016-09-23	Women in politics
Missoulian	2016-09-23	No-sew jean buttons
Missoulian	2016-09-23	Pain, Epilepsy Drug Lyrica May Increase Birth Defects Risk, Study Suggests
Missoulian	2016-09-23	Parrot funding comes with a lecture ? and a refund request
Missoulian	2016-09-23	Prep Extra Scoreboard: Thursday, May 19
Missoulian	2016-09-23	Prep Extra: Big Sky's Macey Newbary finds strength in bond with mother
Missoulian	2016-09-23	Prior C-Section Raises Risk of Complications With Home Birth
Missoulian	2016-09-23	QuickFix Tape Strips
Missoulian	2016-09-23	Raymond Gruender, Missouri
Missoulian	2016-09-23	Raymond Kethledge, Michigan
Missoulian	2016-09-23	Safety and straight pins
Missoulian	2016-09-23	Salaried workers benefiting from the overtime work rule
Missoulian	2016-09-23	Seam ripper
Missoulian	2016-09-23	Spare buttons
Missoulian	2016-09-23	Spot remover
Missoulian	2016-09-23	State B golf: Libby freshman shatters record; Bigfork takes first team title
Missoulian	2016-09-23	State C golf: Seeley-Swan's Nicholas medals in boys' meet
Missoulian	2016-09-23	State will try to get back limits on contributions from political parties
Missoulian	2016-09-23	Steven Colloton, Iowa
Missoulian	2016-09-23	Stitch Witchery
Missoulian	2016-09-23	Sweater stone
Missoulian	2016-09-23	Thomas Hardiman, Pennsylvania
Missoulian	2016-09-23	Thomas Lee, Utah
Missoulian	2016-09-23	Too Few Americans Take Advantage of Local Parks
Missoulian	2016-09-23	Tumor Location Affects Colon Cancer Survival: Study
Missoulian	2016-09-23	Why Heavy Drinking Seems to Boost Desire to Smoke More
Missoulian	2016-09-23	William Pryor, Jr. Alabama
Missoulian	2016-09-23	Workers benefitting from overtime work rule by age group
Missoulian	2016-09-23	Workers benefitting from overtime work rule by gender
Missoulian	2016-09-23	Workers benefitting from the overtime work rule by education level
Missoulian	2016-09-23	Workers benefitting from the overtime work rule by ethnicity
Missoulian	2016-09-23	Zipper pull
Missoulian	2016-09-30	Student accidentally discharges gun at Tech student housing; no one hurt
Missoulian	2016-09-30	Youth detention facility at Galen will close, not relocate
Missoulian	2016-09-30	Giant Geyser, 2nd largest in Yellowstone, erupts in rare display
Missoulian	2016-09-30	Hellgate Intermediate School wins National Blue Ribbon School award
