paper	date	word	count
Missoulian	2016-09-23	after	2
Missoulian	2016-09-23	ewu	1
Missoulian	2016-09-23	air	1
Missoulian	2016-09-23	raid	1
Missoulian	2016-09-23	bobcats	1
Missoulian	2016-09-23	switch	1
Missoulian	2016-09-23	focus	1
Missoulian	2016-09-23	to	19
Missoulian	2016-09-23	cal	1
Missoulian	2016-09-23	poly	1
Missoulian	2016-09-23	option	1
Missoulian	2016-09-23	alternative	1
Missoulian	2016-09-23	art	2
Missoulian	2016-09-23	gallery	1
Missoulian	2016-09-23	frontierspace	1
Missoulian	2016-09-23	hold	1
Missoulian	2016-09-23	annual	2
Missoulian	2016-09-23	auction	2
Missoulian	2016-09-23	does	1
Missoulian	2016-09-23	state	5
Missoulian	2016-09-23	gets	1
Missoulian	2016-09-23	passing	1
Missoulian	2016-09-23	grade	1
Missoulian	2016-09-23	for	8
Missoulian	2016-09-23	education	2
Missoulian	2016-09-23	funding	2
Missoulian	2016-09-23	group	2
Missoulian	2016-09-23	aims	1
Missoulian	2016-09-23	find	1
Missoulian	2016-09-23	out	3
Missoulian	2016-09-23	fall	1
Missoulian	2016-09-23	films	1
Missoulian	2016-09-23	have	1
Missoulian	2016-09-23	issues	1
Missoulian	2016-09-23	family	1
Missoulian	2016-09-23	in	16
Missoulian	2016-09-23	need	1
Missoulian	2016-09-23	bonner	1
Missoulian	2016-09-23	fire	1
Missoulian	2016-09-23	destroyed	1
Missoulian	2016-09-23	home	3
Missoulian	2016-09-23	killed	1
Missoulian	2016-09-23	cat	1
Missoulian	2016-09-23	headwaters	1
Missoulian	2016-09-23	dance	1
Missoulian	2016-09-23	companys	1
Missoulian	2016-09-23	last	1
Missoulian	2016-09-23	hurrah	1
Missoulian	2016-09-23	concerts	1
Missoulian	2016-09-23	are	2
Missoulian	2016-09-23	next	2
Missoulian	2016-09-23	week	3
Missoulian	2016-09-23	montana	3
Missoulian	2016-09-23	coaching	1
Missoulian	2016-09-23	tree	1
Missoulian	2016-09-23	gathers	1
Missoulian	2016-09-23	fundraiser	1
Missoulian	2016-09-23	mountain	1
Missoulian	2016-09-23	line	1
Missoulian	2016-09-23	detour	1
Missoulian	2016-09-23	saturday	1
Missoulian	2016-09-23	due	2
Missoulian	2016-09-23	um	1
Missoulian	2016-09-23	homecoming	1
Missoulian	2016-09-23	parade	1
Missoulian	2016-09-23	rabid	1
Missoulian	2016-09-23	bat	1
Missoulian	2016-09-23	found	1
Missoulian	2016-09-23	at	1
Missoulian	2016-09-23	picnic	1
Missoulian	2016-09-23	area	1
Missoulian	2016-09-23	north	1
Missoulian	2016-09-23	of	10
Missoulian	2016-09-23	helena	1
Missoulian	2016-09-23	ravalli	1
Missoulian	2016-09-23	county	1
Missoulian	2016-09-23	attorneys	1
Missoulian	2016-09-23	daughter	1
Missoulian	2016-09-23	jailed	1
Missoulian	2016-09-23	sibling	1
Missoulian	2016-09-23	assault	1
Missoulian	2016-09-23	search	1
Missoulian	2016-09-23	continues	1
Missoulian	2016-09-23	today	1
Missoulian	2016-09-23	missing	2
Missoulian	2016-09-23	kalispell	1
Missoulian	2016-09-23	bow	1
Missoulian	2016-09-23	hunter	1
Missoulian	2016-09-23	tester	1
Missoulian	2016-09-23	escort	1
Missoulian	2016-09-23	pope	1
Missoulian	2016-09-23	francis	1
Missoulian	2016-09-23	house	1
Missoulian	2016-09-23	chambers	1
Missoulian	2016-09-23	msus	1
Missoulian	2016-09-23	prukop	1
Missoulian	2016-09-23	sac	1
Missoulian	2016-09-23	states	1
Missoulian	2016-09-23	sankey	1
Missoulian	2016-09-23	a	4
Missoulian	2016-09-23	clash	1
Missoulian	2016-09-23	excellence	1
Missoulian	2016-09-23	new	1
Missoulian	2016-09-23	consul	1
Missoulian	2016-09-23	mexico	1
Missoulian	2016-09-23	seeks	1
Missoulian	2016-09-23	strengthen	1
Missoulian	2016-09-23	ties	1
Missoulian	2016-09-23	with	5
Missoulian	2016-09-23	prep	5
Missoulian	2016-09-23	athletes	1
Missoulian	2016-09-23	the	8
Missoulian	2016-09-23	oct	1
Missoulian	2016-09-23	8	1
